CountryName,Year,SuicideRate,GDP_PerCapita,Continent
Sierra Leone,2015,9.3,588.2284527,Africa
Singapore,2015,9,55646.61875,Asia
Slovenia,2015,21,20887.51964,Europe
Solomon Islands,2015,4.9,1914.467926,Oceania
South Africa,2015,11.8,5730.934174,Africa
Spain,2015,8.1,25817.38661,Europe
Sri Lanka,2015,14.8,3843.780672,Asia
Sudan,2015,8,2486.745659,Africa
Suriname,2015,23.8,8561.974179,South America
Sweden,2015,15.7,50832.55271,Europe
Switzerland,2015,17.1,82081.59712,Europe
Tajikistan,2015,2.5,929.0958572,Asia
Thailand,2015,14.6,5840.046948,Asia
Timor-Leste,2015,4.6,2585.153878,Asia
Togo,2015,9.4,570.6807371,Africa
Tonga,2015,3.5,4320.63799,Oceania
Trinidad and Tobago,2015,13.6,18332.49031,North America
Tunisia,2015,3.4,3859.814436,Africa
Turkey,2015,7.3,10948.72461,Asia
Turkmenistan,2015,7.2,6432.680702,Asia
Uganda,2015,9.9,709.0210386,Africa
Ukraine,2015,23.1,2124.662666,Europe
United Arab Emirates,2015,2.8,38663.38381,Asia
United Kingdom,2015,8.7,44472.1517,Europe
United States of America,2015,15,56803.47243,North America
Uruguay,2015,19.4,15613.76427,South America
Uzbekistan,2015,7.4,2615.025134,Asia
Vanuatu,2015,4.5,2721.635936,Oceania
